hs_code,product_desc,unit,general_rate,applicable_origin
5512.91.00,Unbleached or bleached,,14.90%,ALL
5512.91.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5512.91.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5512.91.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5512.91.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5512.91.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5512.91.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5512.91.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5512.91.00.90,Other (220),"[""m²"",""kg""]",,ALL
5512.99.00,Other,,12.00%,ALL
5512.99.00.05,"Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]",,ALL
5512.99.00.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5512.99.00.15,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5512.99.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5512.99.00.25,Printcloth (615),"[""m²"",""kg""]",,ALL
5512.99.00.30,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5512.99.00.35,Duck (219),"[""m²"",""kg""]",,ALL
5512.99.00.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5512.99.00.45,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5512.99.00.90,Other (220),"[""m²"",""kg""]",,ALL
5513.11.00,"Of polyester staple fibers, plain weave",,14.90%,ALL
5513.11.00.20,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5513.11.00.40,Sheeting (613),"[""m²"",""kg""]",,ALL
5513.11.00.60,Printcloth (615),"[""m²"",""kg""]",,ALL
5513.11.00.90,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5513.12.00.00,"3-thread or 4-thread twill, including cross twill, of polyester staple fibers (617)","[""m²"",""kg""]",14.90%,ALL
5513.13.00,Other woven fabrics of polyester staple fibers,,14.90%,ALL
5513.13.00.20,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5513.13.00.40,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5513.13.00.90,Other (220),"[""m²"",""kg""]",,ALL
5513.19.00,Other woven fabrics,,14.90%,ALL
5513.19.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5513.19.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5513.19.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5513.19.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5513.19.00.50,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5513.19.00.60,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5513.19.00.90,Other (220),"[""m²"",""kg""]",,ALL
5513.21.00,"Of polyester staple fibers, plain weave",,14.90%,ALL
5513.21.00.20,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5513.21.00.40,Sheeting (613),"[""m²"",""kg""]",,ALL
5513.21.00.60,Printcloth (615),"[""m²"",""kg""]",,ALL
5513.21.00.90,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5513.23.01,Other woven fabrics of polyester staple fibers,,14.90%,ALL
5513.23.01.21,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5513.23.01.41,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5513.23.01.91,Other (220),"[""m²"",""kg""]",,ALL
5513.29.00,Other woven fabrics,,14.90%,ALL
5513.29.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5513.29.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5513.29.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5513.29.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5513.29.00.50,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5513.29.00.60,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5513.29.00.90,Other (220),"[""m²"",""kg""]",,ALL
5513.31.00.00,"Of polyester staple fibers, plain weave (218)","[""m²"",""kg""]",14.90%,ALL
5513.39.01,Other woven fabrics,,14.90%,ALL
5513.39.01.11,Jacquard weave (220),"[""m²"",""kg""]",,ALL
5513.39.01.15,Oxford cloth (218),"[""m²"",""kg""]",,ALL
5513.39.01.91,Other (218),"[""m²"",""kg""]",,ALL
5513.41.00,"Of polyester staple fibers, plain weave",,14.90%,ALL
5513.41.00.20,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5513.41.00.40,Sheeting (613),"[""m²"",""kg""]",,ALL
5513.41.00.60,Printcloth (615),"[""m²"",""kg""]",,ALL
5513.41.00.90,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5513.49.10.00,"3-thread or 4-thread twill, including cross twill, of polyester staple fibers (617)","[""m²"",""kg""]",13.60%,ALL
5513.49.20,Other woven fabrics of polyester staple fibers,,14.90%,ALL
5513.49.20.20,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5513.49.20.40,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5513.49.20.90,Other (220),"[""m²"",""kg""]",,ALL
5513.49.90,Other,,8.50%,ALL
5513.49.90.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5513.49.90.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5513.49.90.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5513.49.90.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5513.49.90.50,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5513.49.90.60,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5513.49.90.90,Other (220),"[""m²"",""kg""]",,ALL
5514.11.00,"Of polyester staple fibers, plain weave",,14.90%,ALL
5514.11.00.20,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5514.11.00.30,Not napped (613),"[""m²"",""kg""]",,ALL
5514.11.00.50,Napped (613),"[""m²"",""kg""]",,ALL
5514.11.00.90,Plain weave duck (219),"[""m²"",""kg""]",,ALL
5514.12.00,"3-thread or 4-thread twill, including cross twill, of polyester staple fibers",,14.90%,ALL
5514.12.00.20,Not napped (617),"[""m²"",""kg""]",,ALL
5514.12.00.40,Napped (617),"[""m²"",""kg""]",,ALL
5514.19.10,Woven fabrics of polyester staple fibers,,14.90%,ALL
5514.19.10.20,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5514.19.10.40,"Duck, except plain weave (219)","[""m²"",""kg""]",,ALL
5514.19.10.90,Other (220),"[""m²"",""kg""]",,ALL
5514.19.90,Other,,8.50%,ALL
5514.19.90.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5514.19.90.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5514.19.90.30,Duck (219),"[""m²"",""kg""]",,ALL
5514.19.90.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5514.19.90.90,Other (220),"[""m²"",""kg""]",,ALL
5514.21.00,"Of polyester staple fibers, plain weave",,14.90%,ALL
5514.21.00.20,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5514.21.00.30,Not napped (613),"[""m²"",""kg""]",,ALL
5514.21.00.50,Napped (613),"[""m²"",""kg""]",,ALL
5514.21.00.90,Plain weave duck (219),"[""m²"",""kg""]",,ALL
5514.22.00,"3-thread or 4-thread twill, including cross twill, of polyester staple fibers",,14.90%,ALL
5514.22.00.20,Not napped (617),"[""m²"",""kg""]",,ALL
5514.22.00.40,Napped (617),"[""m²"",""kg""]",,ALL
5514.23.00,Other woven fabrics of polyester staple fibers,,14.90%,ALL
5514.23.00.20,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5514.23.00.40,"Duck, except plain weave (219)","[""m²"",""kg""]",,ALL
5514.23.00.90,Other (220),"[""m²"",""kg""]",,ALL
5514.29.00,Other woven fabrics,,12.00%,ALL
5514.29.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5514.29.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5514.29.00.30,Duck (219),"[""m²"",""kg""]",,ALL
5514.29.00.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5514.29.00.90,Other (220),"[""m²"",""kg""]",,ALL
5514.30.31.00,"Of polyester staple fibers, plain weave (218)","[""m²"",""kg""]",14.90%,ALL
5514.30.32,"3-thread or 4-thread twill, including cross twill, of polyester staple fibers",,14.90%,ALL
5514.30.32.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5514.30.32.15,Other denim (218),"[""m²"",""kg""]",,ALL
5514.30.32.80,Other (218),"[""m²"",""kg""]",,ALL
5514.30.33,Other woven fabrics of polyester staple fibers,,12.00%,ALL
5514.30.33.10,Jacquard weave (220),"[""m²"",""kg""]",,ALL
5514.30.33.90,Other (218),"[""m²"",""kg""]",,ALL
5514.30.39,Other woven fabrics,,Free,ALL
5514.30.39.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5514.30.39.20,Jacquard weave (220),"[""m²"",""kg""]",,ALL
5514.30.39.90,Other (218),"[""m²"",""kg""]",,ALL
5514.41.00,"Of polyester staple fibers, plain weave",,14.90%,ALL
5514.41.00.20,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5514.41.00.30,Not napped (613),"[""m²"",""kg""]",,ALL
5514.41.00.50,Napped (613),"[""m²"",""kg""]",,ALL
5514.41.00.90,Plain weave duck (219),"[""m²"",""kg""]",,ALL
5514.42.00,"3-thread or 4-thread twill, including cross twill, of polyester staple fibers",,14.90%,ALL
5514.42.00.20,Not napped (617),"[""m²"",""kg""]",,ALL
5514.42.00.40,Napped (617),"[""m²"",""kg""]",,ALL
5514.43.00,Other woven fabrics of polyester staple fibers,,Free,ALL
5514.43.00.20,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5514.43.00.40,"Duck, except plain weave (219)","[""m²"",""kg""]",,ALL
5514.43.00.90,Other (220),"[""m²"",""kg""]",,ALL
5514.49.00,Other woven fabrics,,8.50%,ALL
5514.49.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5514.49.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5514.49.00.30,Duck (219),"[""m²"",""kg""]",,ALL
5514.49.00.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5514.49.00.90,Other (220),"[""m²"",""kg""]",,ALL
5515.11.00,Mixed mainly or solely with viscose rayon staple fibers,,14.90%,ALL
5515.11.00.05,"Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]",,ALL
5515.11.00.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5515.11.00.15,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5515.11.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5515.11.00.25,Printcloth (615),"[""m²"",""kg""]",,ALL
5515.11.00.30,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5515.11.00.35,Duck (219),"[""m²"",""kg""]",,ALL
5515.11.00.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5515.11.00.45,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5515.11.00.90,Other (220),"[""m²"",""kg""]",,ALL
5515.12.00,Mixed mainly or solely with man-made filaments,,12.00%,ALL
5515.12.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5515.12.00.22,Of a width exceeding 254 cm (627),"[""m²"",""kg""]",,ALL
5515.12.00.27,Other (627),"[""m²"",""kg""]",,ALL
5515.12.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5515.12.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5515.12.00.90,Other (629),"[""m²"",""kg""]",,ALL
5515.13.05,Containing 36 percent or more by weight of wool or fine animal hair,,25.00%,ALL
5515.13.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5515.13.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5515.13.10,Other,,12.00%,ALL
5515.13.10.10,Not combed (624),"[""m²"",""kg""]",,ALL
5515.13.10.20,Combed (624),"[""m²"",""kg""]",,ALL
5515.19.00,Other,,12.00%,ALL
5515.19.00.05,"Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]",,ALL
5515.19.00.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5515.19.00.15,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5515.19.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5515.19.00.25,Printcloth (615),"[""m²"",""kg""]",,ALL
5515.19.00.30,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5515.19.00.35,Duck (219),"[""m²"",""kg""]",,ALL
5515.19.00.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5515.19.00.45,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5515.19.00.90,Other (220),"[""m²"",""kg""]",,ALL
5515.21.00,Mixed mainly or solely with man-made filaments,,Free,ALL
5515.21.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5515.21.00.20,Sheeting (627),"[""m²"",""kg""]",,ALL
5515.21.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5515.21.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5515.21.00.90,Other (629),"[""m²"",""kg""]",,ALL
5515.22.05,Containing 36 percent or more by weight of wool or fine animal hair,,20.10%,ALL
5515.22.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5515.22.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5515.22.10.00,Other (624),"[""m²"",""kg""]",12.00%,ALL
5515.29.00,Other,,Free,ALL
5515.29.00.05,"Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]",,ALL
5515.29.00.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5515.29.00.15,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5515.29.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5515.29.00.25,Printcloth (615),"[""m²"",""kg""]",,ALL
5515.29.00.30,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5515.29.00.35,Duck (219),"[""m²"",""kg""]",,ALL
5515.29.00.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5515.29.00.45,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5515.29.00.90,Other (220),"[""m²"",""kg""]",,ALL
5515.91.00,Mixed mainly or solely with man-made filaments,,12.00%,ALL
5515.91.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5515.91.00.20,Sheeting (627),"[""m²"",""kg""]",,ALL
5515.91.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5515.91.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5515.91.00.90,Other (629),"[""m²"",""kg""]",,ALL
5515.99.05,Containing 36 percent or more by weight of wool or fine animal hair,,25.00%,ALL
5515.99.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5515.99.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5515.99.10,Other,,12.00%,ALL
5515.99.10.10,Not combed (624),"[""m²"",""kg""]",,ALL
5515.99.10.20,Combed (624),"[""m²"",""kg""]",,ALL
5515.99.90,Other,,8.50%,ALL
5515.99.90.05,"Of yarns of different colors, except blue denim or jacquard weave (218)","[""m²"",""kg""]",,ALL
5515.99.90.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5515.99.90.15,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5515.99.90.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5515.99.90.25,Printcloth (615),"[""m²"",""kg""]",,ALL
5515.99.90.30,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5515.99.90.35,Duck (219),"[""m²"",""kg""]",,ALL
5515.99.90.40,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5515.99.90.45,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5515.99.90.90,Other (220),"[""m²"",""kg""]",,ALL
5516.11.00,Unbleached or bleached,,14.90%,ALL
5516.11.00.10,Plain weave (611),"[""m²"",""kg""]",,ALL
5516.11.00.20,Satin weave or twill weave (611),"[""m²"",""kg""]",,ALL
5516.11.00.90,Other (611),"[""m²"",""kg""]",,ALL
5516.12.00,Dyed,,14.90%,ALL
5516.12.00.10,Plain weave (611),"[""m²"",""kg""]",,ALL
5516.12.00.20,Satin weave or twill weave (611),"[""m²"",""kg""]",,ALL
5516.12.00.90,Other (611),"[""m²"",""kg""]",,ALL
5516.13.00.00,Of yarns of different colors (611),"[""m²"",""kg""]",14.90%,ALL
5516.14.00,Printed,,10.00%,ALL
5516.14.00.05,Discharge printed (611),"[""m²"",""kg""]",,ALL
5516.14.00.15,Other (611),"[""m²"",""kg""]",,ALL
5516.14.00.25,Discharge printed (611),"[""m²"",""kg""]",,ALL
5516.14.00.30,Other (611),"[""m²"",""kg""]",,ALL
5516.14.00.85,Discharge printed (611),"[""m²"",""kg""]",,ALL
5516.14.00.95,Other (611),"[""m²"",""kg""]",,ALL
5516.21.00,Unbleached or bleached,,14.90%,ALL
5516.21.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5516.21.00.20,Sheeting (627),"[""m²"",""kg""]",,ALL
5516.21.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5516.21.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5516.21.00.90,Other (629),"[""m²"",""kg""]",,ALL
5516.22.00,Dyed,,14.90%,ALL
5516.22.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5516.22.00.20,Sheeting (627),"[""m²"",""kg""]",,ALL
5516.22.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5516.22.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5516.22.00.90,Other (629),"[""m²"",""kg""]",,ALL
5516.23.00,Of yarns of different colors,,8.50%,ALL
5516.23.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5516.23.00.20,Sheeting (627),"[""m²"",""kg""]",,ALL
5516.23.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5516.23.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5516.23.00.90,Other (629),"[""m²"",""kg""]",,ALL
5516.24.00,Printed,,14.90%,ALL
5516.24.00.10,Poplin or broadcloth (625),"[""m²"",""kg""]",,ALL
5516.24.00.20,Sheeting (627),"[""m²"",""kg""]",,ALL
5516.24.00.30,Printcloth (626),"[""m²"",""kg""]",,ALL
5516.24.00.40,Satin weave or twill weave (628),"[""m²"",""kg""]",,ALL
5516.24.00.85,Discharge printed (629),"[""m²"",""kg""]",,ALL
5516.24.00.95,Other (629),"[""m²"",""kg""]",,ALL
5516.31.05,Containing 36 percent or more by weight of wool or fine animal hair,,19.80%,ALL
5516.31.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5516.31.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5516.31.10.00,Other (624),"[""m²"",""kg""]",12.00%,ALL
5516.32.05,Containing 36 percent or more by weight of wool or fine animal hair,,25.00%,ALL
5516.32.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5516.32.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5516.32.10.00,Other (624),"[""m²"",""kg""]",12.00%,ALL
5516.33.05,Containing 36 percent or more by weight of wool or fine animal hair,,25.00%,ALL
5516.33.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5516.33.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5516.33.10.00,Other (624),"[""m²"",""kg""]",12.00%,ALL
5516.34.05,Containing 36 percent or more by weight of wool or fine animal hair,,19.70%,ALL
5516.34.05.10,Not combed (410),"[""m²"",""kg""]",,ALL
5516.34.05.20,Combed (410),"[""m²"",""kg""]",,ALL
5516.34.10.00,Other (624),"[""m²"",""kg""]",12.00%,ALL
5516.41.00,Unbleached or bleached,,14.90%,ALL
5516.41.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5516.41.00.22,Of a width exceeding 127 cm (613),"[""m²"",""kg""]",,ALL
5516.41.00.27,Other (613),"[""m²"",""kg""]",,ALL
5516.41.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5516.41.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5516.41.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5516.41.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5516.41.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5516.41.00.90,Other (220),"[""m²"",""kg""]",,ALL
5516.42.00,Dyed,,12.00%,ALL
5516.42.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5516.42.00.22,Of a width exceeding 127 cm (613),"[""m²"",""kg""]",,ALL
5516.42.00.27,Other (613),"[""m²"",""kg""]",,ALL
5516.42.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5516.42.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5516.42.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5516.42.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5516.42.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5516.42.00.90,Other (220),"[""m²"",""kg""]",,ALL
5516.43.00,Of yarns of different colors,,Free,ALL
5516.43.00.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5516.43.00.15,Other denim (218),"[""m²"",""kg""]",,ALL
5516.43.00.20,Jacquard weave (220),"[""m²"",""kg""]",,ALL
5516.43.00.35,Of a width exceeding 127 cm (218),"[""m²"",""kg""]",,ALL
5516.43.00.80,Other (218),"[""m²"",""kg""]",,ALL
5516.44.00,Printed,,8.50%,ALL
5516.44.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5516.44.00.22,Of a width exceeding 127 cm (613),"[""m²"",""kg""]",,ALL
5516.44.00.27,Other (613),"[""m²"",""kg""]",,ALL
5516.44.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5516.44.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5516.44.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5516.44.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5516.44.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5516.44.00.90,Other (220),"[""m²"",""kg""]",,ALL
5516.91.00,Unbleached or bleached,,12.00%,ALL
5516.91.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5516.91.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5516.91.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5516.91.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5516.91.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5516.91.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5516.91.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5516.91.00.90,Other (220),"[""m²"",""kg""]",,ALL
5516.92.00,Dyed,,12.00%,ALL
5516.92.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5516.92.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5516.92.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5516.92.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5516.92.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5516.92.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5516.92.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5516.92.00.90,Other (220),"[""m²"",""kg""]",,ALL
5516.93.00,Of yarns of different colors,,8.50%,ALL
5516.93.00.10,Blue denim (225),"[""m²"",""kg""]",,ALL
5516.93.00.20,Jacquard weave (220),"[""m²"",""kg""]",,ALL
5516.93.00.90,Other (218),"[""m²"",""kg""]",,ALL
5516.94.00,Printed,,12.00%,ALL
5516.94.00.10,Poplin or broadcloth (614),"[""m²"",""kg""]",,ALL
5516.94.00.20,Sheeting (613),"[""m²"",""kg""]",,ALL
5516.94.00.30,Printcloth (615),"[""m²"",""kg""]",,ALL
5516.94.00.40,"Cheesecloth; lawns, voiles or batistes (226)","[""m²"",""kg""]",,ALL
5516.94.00.50,Duck (219),"[""m²"",""kg""]",,ALL
5516.94.00.60,Satin weave or twill weave (617),"[""m²"",""kg""]",,ALL
5516.94.00.70,Oxford cloth (227),"[""m²"",""kg""]",,ALL
5516.94.00.90,Other (220),"[""m²"",""kg""]",,ALL
5601.21.00,Of cotton,,3.60%,ALL
5601.21.00.10,"Wadding, in the piece (223)","[""kg""]",,ALL
5601.21.00.90,Other (369),"[""kg""]",,ALL
5601.22.00,Of man-made fibers,,6.30%,ALL
5601.22.00.10,"Wadding, in the piece (223)","[""kg""]",,ALL
5601.22.00.50,"Flocked swabs, other than articles of heading 3926 (669)","[""kg""]",,ALL
5601.22.00.91,Other (669),"[""kg""]",,ALL
5601.29.00,Other,,4.00%,ALL
5601.29.00.10,Containing 85 percent or more by weight of silk or silk waste,"[""kg""]",,ALL
5601.29.00.20,Of wool or fine animal hair (469),"[""kg""]",,ALL
5601.29.00.90,Other (899),"[""kg""]",,ALL
5601.30.00.00,Textile flock and dust and mill neps,"[""kg""]",Free,ALL
5602.10.10.00,Laminated fabrics (223),"[""kg""]",12.00%,ALL
5602.10.90,Other,,10.60%,ALL
5602.10.90.10,Of wool or fine animal hair (414),"[""kg""]",,ALL
5602.10.90.90,Other (223),"[""kg""]",,ALL
5602.21.00.00,Of wool or fine animal hair (414),"[""kg""]",49.5¢/kg + 7.5%,ALL
5602.29.00.00,Of other textile materials (223),"[""kg""]",6.30%,ALL
5602.90.30.00,Laminated fabrics (223),"[""kg""]",Free,ALL
5602.90.60.00,Of man-made fibers (223),"[""kg""]",6.30%,ALL
5602.90.90.00,Other (414),"[""kg""]",52.9¢/kg + 8%,ALL
5603.11.00,Weighing not more than 25 g/m2,,Free,ALL
5603.11.00.10,"Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]",,ALL
5603.11.00.70,"Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]",,ALL
5603.11.00.95,Other (223),"[""m2"",""kg""]",,ALL
5603.12.00,Weighing more than 25 g/m2 but not more than 70 g/m2,,Free,ALL
5603.12.00.10,"Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]",,ALL
5603.12.00.70,"Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]",,ALL
5603.12.00.95,Other (223),"[""kg""]",,ALL
5603.13.00,Weighing more than 70 g/m2 but not more than 150 g/m2,,Free,ALL
5603.13.00.10,"Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]",,ALL
5603.13.00.70,"Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]",,ALL
5603.13.00.95,Other (223),"[""kg""]",,ALL
5603.14.30.00,Laminated fabrics (223),"[""kg""]",Free,ALL
