hs_code,country_rate_text,is_control,is_exclusion,effective_date
0106.19.30.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.19.91,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.19.91.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.19.91.95,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.20.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.31.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.32.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.33.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.39.01.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.41.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.49.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.49.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.49.00.90,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.90.01,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.90.01.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.90.01.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.90.01.80,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0201.10.05,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,1,2026/7/24
0201.10.05.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,1,2026/7/24
